CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Balance_to_Salary,Product_Density,Engagement_Product,Age_Tenure,High_Balance_Flag,Zero_Balance_Flag,Senior_Customer_Flag,Low_CreditScore_Flag
747,France,Female,45,1,114959.12,1,1,0,189362.39,0.6070852823520023,0.5,0,45,1,0,0,0
585,Spain,Female,44,4,0.0,2,0,1,101728.46,0.0,0.4,2,176,0,1,0,1
691,France,Female,29,9,0.0,2,0,0,199635.93,0.0,0.2,0,261,0,1,0,0
756,Germany,Male,36,2,136815.64,1,1,1,170041.95,0.8045993356345302,0.3333333333333333,1,72,1,0,0,0
643,France,Male,36,0,148159.71,1,0,0,55835.66,2.653496170726736,1.0,0,0,1,0,0,1
610,France,Male,36,4,129440.3,2,1,0,102638.35,1.2611299772453473,0.4,0,144,1,0,0,1
533,France,Female,39,2,0.0,1,0,1,73669.94,0.0,0.3333333333333333,1,78,0,1,0,1
659,France,Female,33,7,89939.62,1,1,0,136540.09,0.6587048536440836,0.125,0,231,0,0,0,0
795,Germany,Female,56,9,94348.94,1,1,0,29239.29,3.2267862865343173,0.1,0,504,0,0,0,0
678,France,Female,60,10,117738.81,1,1,0,147489.76,0.7982846402353627,0.09090909090909091,0,600,1,0,1,0
799,France,Female,52,4,161209.66,1,1,1,89081.41,1.8096891371611652,0.2,1,208,1,0,0,0
726,France,Male,28,2,0.0,1,0,0,98060.51,0.0,0.3333333333333333,0,56,0,1,0,0
656,Spain,Female,40,10,167878.5,1,0,1,151887.16,1.1052843439827302,0.09090909090909091,1,400,1,0,0,0
684,France,Male,60,2,116563.58,1,1,0,120257.7,0.9692816343568853,0.3333333333333333,0,120,1,0,1,0
837,France,Male,49,8,103302.37,1,1,1,50974.57,2.0265471587107062,0.1111111111111111,1,392,1,0,0,0
660,France,Male,40,5,131754.11,2,1,1,38761.61,3.399087653995796,0.3333333333333333,2,200,1,0,0,0
790,Germany,Male,24,7,107418.27,1,0,1,160450.21,0.6694803951954941,0.125,1,168,1,0,0,0
846,France,Female,37,6,127103.97,1,1,1,41516.44,3.0615334551806463,0.14285714285714285,1,222,1,0,0,0
708,Spain,Female,32,8,187487.63,1,1,1,120115.5,1.560894555656847,0.1111111111111111,1,256,1,0,0,0
498,Germany,Male,37,8,108432.88,2,1,1,14865.05,7.294484714144924,0.2222222222222222,2,296,1,0,0,1
636,France,Male,31,6,0.0,2,1,1,2382.61,0.0,0.2857142857142857,2,186,0,1,0,1
518,Spain,Male,50,4,0.0,1,0,0,107112.25,0.0,0.2,0,200,0,1,0,1
622,France,Female,31,1,89688.94,1,1,1,152305.47,0.5888753700047674,0.5,1,31,0,0,0,1
707,France,Male,33,2,0.0,2,0,0,130866.95,0.0,0.6666666666666666,0,66,0,1,0,0
592,France,Male,60,9,0.0,4,1,1,13614.01,0.0,0.4,4,540,0,1,1,1
520,France,Male,30,3,143396.54,2,1,1,898.51,159.59370513405528,0.5,2,90,1,0,0,1
535,France,Male,38,2,119272.29,1,0,0,195896.59,0.608853324093084,0.3333333333333333,0,76,1,0,0,1
567,France,Male,38,6,127678.8,2,0,0,45422.89,2.81089116082222,0.2857142857142857,0,228,1,0,0,1
584,Spain,Female,38,3,0.0,2,1,1,4525.4,0.0,0.5,2,114,0,1,0,1
850,France,Male,55,6,0.0,1,1,0,944.41,0.0,0.14285714285714285,0,330,0,1,0,0
643,Spain,Male,48,8,0.0,2,1,0,174729.3,0.0,0.2222222222222222,0,384,0,1,0,1
619,France,Female,38,3,0.0,2,0,1,116467.35,0.0,0.5,2,114,0,1,0,1
705,France,Male,25,0,97544.29,1,0,1,59887.15,1.6288016711431417,1.0,1,0,1,0,0,0
670,Spain,Male,43,1,97792.21,1,0,0,120225.62,0.8134057449651747,0.5,0,43,1,0,0,0
583,France,Female,40,4,55776.39,2,1,0,26920.43,2.0718981829042105,0.4,0,160,0,0,0,1
665,France,Male,52,3,0.0,1,1,0,116137.01,0.0,0.25,0,156,0,1,0,0
678,France,Male,26,3,0.0,2,1,0,4989.33,0.0,0.5,0,78,0,1,0,0
574,Spain,Male,34,5,0.0,2,0,0,28269.86,0.0,0.3333333333333333,0,170,0,1,0,1
489,Germany,Female,52,1,131441.51,1,1,0,37240.11,3.529568253154999,0.5,0,52,1,0,0,1
685,Germany,Male,57,7,101868.51,1,0,1,113483.96,0.8976467687592149,0.125,1,399,1,0,0,0
596,Spain,Male,57,6,0.0,2,1,1,72402.0,0.0,0.2857142857142857,2,342,0,1,0,1
505,Germany,Female,33,3,106506.77,3,1,0,45445.78,2.3436008799936983,0.75,0,99,1,0,0,1
775,Germany,Female,33,1,118897.1,2,1,1,26362.4,4.510101508208661,1.0,2,33,1,0,0,0
684,France,Male,35,3,137179.39,1,1,1,37264.11,3.6812737510704,0.25,1,105,1,0,0,0
559,France,Female,31,3,127070.73,1,0,1,160941.78,0.7895447036810453,0.25,1,93,1,0,0,1
497,Germany,Male,41,5,80542.81,1,0,0,88729.22,0.9077371580636007,0.16666666666666666,0,205,0,0,0,1
606,France,Male,47,3,93578.68,2,0,1,137720.56,0.6794822791891058,0.5,2,141,0,0,0,1
686,France,Male,34,6,146178.13,2,1,1,88837.11,1.6454624649541165,0.2857142857142857,2,204,1,0,0,0
697,Spain,Female,25,5,82931.85,2,1,1,128373.88,0.6460180996321059,0.3333333333333333,2,125,0,0,0,0
687,Germany,Female,27,9,152328.88,2,0,0,126494.82,1.2042301811252034,0.2,0,243,1,0,0,0
551,Spain,Male,76,2,128410.71,2,1,1,181718.73,0.7066454294502278,0.6666666666666666,2,152,1,0,1,1
589,France,Male,46,9,0.0,2,1,0,170676.67,0.0,0.2,0,414,0,1,0,1
510,Germany,Male,31,0,113688.63,1,1,0,33099.41,3.434763036561679,1.0,0,0,1,0,0,1
691,France,Female,44,6,134066.1,2,1,1,197572.41,0.6785669112402891,0.2857142857142857,2,264,1,0,0,0
793,Germany,Female,32,1,96408.98,1,1,1,138191.81,0.6976461195493423,0.5,1,32,0,0,0,0
702,France,Male,37,10,150525.8,1,1,1,94728.49,1.5890235345248296,0.09090909090909091,1,370,1,0,0,0
624,Spain,Male,33,6,66220.17,1,0,1,170819.01,0.387662766573814,0.14285714285714285,1,198,0,0,0,1
532,Spain,Female,37,5,0.0,2,0,1,6761.84,0.0,0.3333333333333333,2,185,0,1,0,1
657,Spain,Male,41,8,109402.13,1,1,1,66463.62,1.6460453102012802,0.1111111111111111,1,328,1,0,0,0
543,France,Male,64,4,0.0,2,1,1,148305.82,0.0,0.4,2,256,0,1,1,1
691,Germany,Female,38,5,114753.76,1,1,0,107665.02,1.0658406973778483,0.16666666666666666,0,190,1,0,0,0
688,France,Male,29,1,0.0,2,1,0,154695.57,0.0,1.0,0,29,0,1,0,0
641,France,Female,52,4,0.0,1,1,0,90964.54,0.0,0.2,0,208,0,1,0,1
698,France,Male,27,7,0.0,2,1,0,111471.55,0.0,0.25,0,189,0,1,0,0
711,France,Female,21,0,82844.33,2,0,1,1408.68,58.80990004827214,2.0,2,0,0,0,0,0
744,Germany,Male,29,6,123737.04,2,1,0,141558.04,0.8741081749930981,0.2857142857142857,0,174,1,0,0,0
588,France,Male,40,5,0.0,2,0,0,100727.68,0.0,0.3333333333333333,0,200,0,1,0,1
549,Germany,Male,54,5,92877.33,1,1,0,2619.64,35.45423416958056,0.16666666666666666,0,270,0,0,0,1
586,France,Female,46,0,0.0,3,0,1,131553.82,0.0,3.0,3,0,0,1,0,1
765,Germany,Female,34,8,136729.51,2,0,0,47058.21,2.9055399684773393,0.2222222222222222,0,272,1,0,0,0
664,Spain,Male,32,5,133705.74,1,0,0,134455.84,0.9944212166611729,0.16666666666666666,0,160,1,0,0,0
746,Germany,Female,33,2,107868.14,2,1,1,146192.4,0.7378505312177651,0.6666666666666666,2,66,1,0,0,0
667,France,Male,42,9,0.0,2,0,1,58137.42,0.0,0.2,2,378,0,1,0,0
690,Spain,Female,48,2,0.0,2,1,1,3149.1,0.0,0.6666666666666666,2,96,0,1,0,0
520,France,Female,39,6,145644.05,1,0,0,104118.93,1.3988239218363077,0.14285714285714285,0,234,1,0,0,1
756,France,Male,37,3,132623.6,1,1,1,58974.0,2.2488486451656664,0.25,1,111,1,0,0,0
579,France,Female,27,9,0.0,2,1,0,126838.7,0.0,0.2,0,243,0,1,0,1
663,France,Male,45,5,83195.12,1,1,1,48682.1,1.7089468202891822,0.16666666666666666,1,225,0,0,0,0
545,Spain,Female,74,3,0.0,2,1,1,161326.73,0.0,0.5,2,222,0,1,1,1
764,France,Male,24,7,98148.61,1,1,0,26843.76,3.65629144352356,0.125,0,168,1,0,0,0
642,France,Male,35,2,133161.95,1,0,1,122254.86,1.089216003355613,0.3333333333333333,1,70,1,0,0,1
687,France,Female,35,3,99587.43,1,1,1,1713.1,58.132876072616895,0.25,1,105,1,0,0,0
651,France,Male,34,3,0.0,2,1,1,105599.65,0.0,0.5,2,102,0,1,0,1
701,France,Male,44,7,0.0,2,1,0,23425.78,0.0,0.25,0,308,0,1,0,0
653,France,Male,37,7,135847.47,1,1,0,144880.81,0.9376498516263128,0.125,0,259,1,0,0,0
559,France,Male,45,8,24043.45,1,0,1,169781.45,0.14161411626535172,0.1111111111111111,1,360,0,0,0,1
538,Spain,Male,68,9,0.0,2,1,0,110440.5,0.0,0.2,0,612,0,1,1,1
